from,to,year,relation,land,wvb
Adolf_Hitler,Reichsruestungsministerium,2,function,1,0
Adolf_Hitler,Fuehrerhauptquartier_Wolfsschanze,2,place,1,0
Aero_Medical_Center,Heidelberg,2,place,1,0
Aggregat_2,Borkum,2,place,1,0
Albert_Speer,Adolf_Hitler,2,function,1,0
Albert_Speer,Mittelbau_Dora,2,place,1,0
Albertus_Universitaet_Koenigsberg,Koenigsberg,2,place,1,0
Arthur_Rudolph,Heeresversuchsanstalt,2,function,1,0
Arthur_Rudolph,Heereswaffenamt,2,function,1,0
Arthur_Rudolph,Mittelwerk_GmbH,2,function,1,0
Arthur_Rudolph,Schutzstaffel,2,function,1,0
Arthur_Rudolph,Sturmabteilung,2,function,1,0
Arthur_Rudolph,V2,2,function,1,0
Arthur_Rudolph,Verein_fuer_Raumschifffahrt,2,function,1,0
Arthur_Rudolph,Berlin,2,place,1,0
Arthur_Rudolph,Kummersdorf,2,place,1,0
Arthur_Rudolph,Mittelbau_Dora,2,place,1,0
Arthur_Rudolph,Peenemuende,2,place,1,0
Bernhard_Tessmann,Heeresversuchsanstalt,2,function,1,0
Bernhard_Tessmann,V2,2,function,1,0
Bernhard_Tessmann,Ebensee,2,place,1,0
Bernhard_Tessmann,Koelpinsee,2,place,1,0
Bernhard_Tessmann,Peenemuende,2,place,1,0
Deutsche_Akademie_der_Naturforscher_Leopoldina,Halle,2,place,1,0
Deutsche_Akademie_fuer_Luftfahrtforschung,Berlin,2,place,1,0
Deutsche_Versuchsanstalt_fuer_Luftfahrt,Berlin,2,place,1,0
Dieter_Huzel,Eisenerzgrube_Georg_Friedrich,2,function,1,0
Dieter_Huzel,Heeresversuchsanstalt,2,function,1,0
Dieter_Huzel,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1,0
Dieter_Huzel,Pruefstand_VII,2,function,1,0
Dieter_Huzel,Technische_Hochschule_Stuttgart,2,function,1,0
Dieter_Huzel,V2,2,function,1,0
Dieter_Huzel,Wernher_von_Braun,2,function,1,0
Dieter_Huzel,Berlin,2,place,1,0
Dieter_Huzel,Doernten,2,place,1,0
Dieter_Huzel,Ebensee,2,place,1,0
Dieter_Huzel,Oberjoch,2,place,1,0
Dieter_Huzel,Peenemuende,2,place,1,0
Dieter_Huzel,Stuttgart,2,place,1,0
Eberhard_Karls_Universitaet_Tuebingen,Tuebingen,2,place,1,0
Eberhard_Rees,Heeresversuchsanstalt,2,function,1,0
Eberhard_Rees,Wernher_von_Braun,2,function,1,0
Eberhard_Rees,Peenemuende,2,place,1,0
Eisenerzgrube_Georg_Friedrich,Doernten,2,place,1,0
Erich_Warsitz,Wernher_von_Braun,2,function,1,0
Erich_Warsitz,Heinkel_He_112,2,mission,1,0
Erich_Warsitz,Kummersdorf,2,place,1,0
Erich_Warsitz,Neuhardenberg,2,place,1,0
Ernst_Heinkel,Wernher_von_Braun,2,function,1,0
Ernst_Heinkel,Heinkel_He_112,2,mission,1,0
Ernst_Heinkel,Kummersdorf,2,place,1,0
Ernst_Heinkel,Neuhardenberg,2,place,1,0
Ernst_Stuhlinger,Albertus_Universitaet_Koenigsberg,2,function,1,0
Ernst_Stuhlinger,Eberhard_Karls_Universitaet_Tuebingen,2,function,1,0
Ernst_Stuhlinger,Heeresversuchsanstalt,2,function,1,0
Ernst_Stuhlinger,Koenigsberg,2,function,1,0
Ernst_Stuhlinger,Ludwig_Maximilians_Universitaet_Muenchen,2,function,1,0
Ernst_Stuhlinger,Technische_Hochschule_Berlin,2,function,1,0
Ernst_Stuhlinger,V2,2,mission,1,0
Ernst_Stuhlinger,Berlin,2,place,1,0
Ernst_Stuhlinger,Muenchen,2,place,1,0
Ernst_Stuhlinger,Peenemuende,2,place,1,0
Ernst_Stuhlinger,Tuebingen,2,place,1,0
Flugmedizinisches_Institut,Rechlin,2,place,1,0
Forschungsinstitut_fuer_Luftfahrtmedizin,Berlin,2,place,1,0
